               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,             0.03642,            0.023782,           0.0011475,             0.70102,              0.6509,             0.67791,             0.42171,            0.037375,            0.020187,           0.0010402,            0.008152,            0.008152,            0.008152
                  58,            0.035994,            0.023548,            0.001398,             0.74061,             0.62863,             0.69431,             0.42714,            0.035937,            0.019986,          0.00078959,            0.008119,            0.008119,            0.008119
                  59,            0.036235,            0.023443,           0.0013279,             0.78325,             0.58559,             0.67623,             0.42487,             0.03594,            0.020041,          0.00074337,            0.008086,            0.008086,            0.008086
                  60,            0.035846,            0.023307,           0.0012758,             0.74915,             0.57573,             0.67256,             0.41293,             0.03621,            0.020181,           0.0011045,            0.008053,            0.008053,            0.008053
                  61,            0.035939,            0.024002,           0.0013207,             0.74362,             0.63866,             0.67597,             0.42491,            0.035964,            0.019582,          0.00077351,             0.00802,             0.00802,             0.00802
                  62,            0.035762,            0.023468,           0.0011853,             0.74207,              0.6229,             0.68371,             0.41627,             0.03712,            0.020178,          0.00096437,            0.007987,            0.007987,            0.007987
                  63,            0.035565,             0.02369,            0.001104,             0.75326,              0.6174,             0.68923,             0.42801,            0.036794,            0.020132,           0.0010169,            0.007954,            0.007954,            0.007954
                  64,            0.035766,            0.023532,            0.001325,              0.7266,             0.66225,             0.69129,             0.42694,            0.036487,            0.020085,           0.0005999,            0.007921,            0.007921,            0.007921
                  65,            0.035462,            0.023067,           0.0012006,             0.75652,             0.62167,             0.68699,             0.42672,            0.036716,            0.020148,           0.0010743,            0.007888,            0.007888,            0.007888
                  66,            0.035501,            0.023247,           0.0011534,             0.69878,              0.6668,             0.68114,             0.43468,            0.036478,             0.02023,          0.00079822,            0.007855,            0.007855,            0.007855
                  67,            0.035387,            0.023511,           0.0010949,             0.69817,             0.67774,             0.68829,             0.42832,            0.036108,            0.020084,          0.00091419,            0.007822,            0.007822,            0.007822
                  68,             0.03522,            0.022848,             0.00141,             0.72712,             0.66392,             0.68747,             0.42814,            0.036505,            0.020085,          0.00086363,            0.007789,            0.007789,            0.007789
                  69,            0.035444,            0.023173,           0.0011434,             0.71974,             0.66171,             0.68261,              0.4327,            0.035435,            0.020311,           0.0010761,            0.007756,            0.007756,            0.007756
                  70,            0.035198,            0.023238,           0.0010801,             0.72112,             0.66371,             0.70353,             0.44168,            0.035733,            0.020054,           0.0012476,            0.007723,            0.007723,            0.007723
                  71,            0.035133,            0.022834,           0.0011797,             0.75538,             0.65304,             0.68635,              0.4362,            0.036166,            0.020573,           0.0012011,             0.00769,             0.00769,             0.00769
                  72,            0.034852,            0.023194,           0.0011576,             0.75196,             0.62925,             0.67905,             0.42255,            0.036503,            0.020359,           0.0025755,            0.007657,            0.007657,            0.007657
                  73,             0.03489,            0.022903,           0.0010319,             0.77788,             0.63846,             0.68141,             0.42529,            0.036843,            0.020188,           0.0021686,            0.007624,            0.007624,            0.007624
                  74,            0.034835,            0.022761,           0.0012224,             0.75102,              0.6456,             0.69644,             0.43665,            0.036538,            0.020088,           0.0010356,            0.007591,            0.007591,            0.007591
                  75,             0.03517,            0.023336,           0.0014693,              0.7572,             0.65661,             0.69296,             0.42497,             0.03666,            0.020097,          0.00060681,            0.007558,            0.007558,            0.007558
                  76,            0.034788,            0.023501,           0.0011654,             0.76067,             0.64667,             0.68757,             0.42162,            0.036598,            0.020179,          0.00074724,            0.007525,            0.007525,            0.007525
                  77,            0.034457,            0.022571,           0.0010336,             0.76389,             0.62777,             0.68108,              0.4272,            0.036339,            0.020117,          0.00065272,            0.007492,            0.007492,            0.007492
                  78,            0.034526,            0.022646,            0.001139,              0.7209,             0.68367,             0.69298,             0.42588,             0.03624,            0.019856,          0.00067116,            0.007459,            0.007459,            0.007459
                  79,            0.034573,            0.023001,           0.0010419,             0.69344,             0.68043,             0.69413,              0.4297,            0.036357,            0.019979,          0.00044978,            0.007426,            0.007426,            0.007426
                  80,            0.034346,            0.022135,            0.001026,             0.73539,             0.64367,             0.68028,             0.42808,            0.036571,            0.020185,          0.00050121,            0.007393,            0.007393,            0.007393
                  81,            0.034431,            0.022302,           0.0011122,             0.74428,             0.66311,             0.68703,             0.42657,            0.036171,            0.020521,          0.00040383,             0.00736,             0.00736,             0.00736
                  82,             0.03415,            0.022535,           0.0011601,             0.74439,             0.65291,              0.6787,             0.42725,            0.035516,            0.020648,          0.00050917,            0.007327,            0.007327,            0.007327
                  83,            0.034586,            0.022736,           0.0009822,             0.72548,             0.66287,             0.67517,             0.43049,            0.035363,            0.020368,          0.00045656,            0.007294,            0.007294,            0.007294
